tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,9,17,14,32,42,2728,138,22,male,1,prr,,1,0,9682,9683,9683,apple,right,1,none,none,none,none,none,none,0,9683,,,,1,,,ap
alexandra,24m2h,2024,9,17,14,32,56,2728,138,22,male,1,prr,,1,0,2589,2589,2589,apple,,1,,,,,,,1,2589,,,,1,,,
alexandra,24m2h,2024,9,17,14,33,3,2728,138,22,male,1,tpr,prpt,1,0,4204,4205,4205,elephant,,1,,,,,,,1,4205,,4205,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,33,11,2728,138,22,male,2,tpr,prpt,1,0,1488,1488,1488,elephant,,1,,,,,,,1,1488,,1488,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,33,17,2728,138,22,male,3,tpr,prpt,1,0,1334,1334,1334,elephant2,,1,,,,,,,1,1334,,1334,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,33,22,2728,138,22,male,4,tpr,prpt,1,0,1817,1817,1817,elephant4,,1,,,,,,,1,1817,,1817,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,33,28,2728,138,22,male,5,tpr,prpt,1,0,1742,1742,1742,owl,,1,,,,,,,1,1742,,1742,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,33,34,2728,138,22,male,6,tpr,inhb,1,0,4091,4115,4115,owl,,1,,,,,,,1,4115,4115,,inhb,1,,1,
alexandra,24m2h,2024,9,17,14,33,42,2728,138,22,male,7,tpr,prpt,1,0,2674,2675,2675,elephant,,1,,,,,,,1,2675,,2675,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,33,49,2728,138,22,male,8,tpr,prpt,1,0,1793,1793,1793,apple,,1,,,,,,,1,1793,,1793,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,33,55,2728,138,22,male,9,tpr,prpt,1,0,1332,1332,1332,flower,,1,,,,,,,1,1332,,1332,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,34,1,2728,138,22,male,10,tpr,inhb,1,0,2326,2326,2326,owl,,1,,,,,,,1,2326,2326,,inhb,1,,1,
alexandra,24m2h,2024,9,17,14,34,7,2728,138,22,male,11,tpr,inhb,1,0,2075,2075,2075,flower,,1,,,,,,,1,2075,2075,,inhb,1,,1,
alexandra,24m2h,2024,9,17,14,34,13,2728,138,22,male,12,tpr,prpt,1,0,2692,2693,2693,flower,,1,,,,,,,1,2693,,2693,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,34,20,2728,138,22,male,13,tpr,inhb,1,0,1867,1867,1867,elephant,,1,,,,,,,1,1867,1867,,inhb,1,,1,
alexandra,24m2h,2024,9,17,14,34,26,2728,138,22,male,14,tpr,prpt,1,0,2433,2433,2433,owl,,1,,,,,,,1,2433,,2433,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,34,32,2728,138,22,male,15,tpr,prpt,1,0,1704,1704,1704,elephant4,,1,,,,,,,1,1704,,1704,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,34,38,2728,138,22,male,16,tpr,prpt,1,0,1748,1749,1749,elephant4,,1,,,,,,,1,1749,,1749,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,34,44,2728,138,22,male,17,tpr,prpt,1,0,1625,1625,1625,owl,,1,,,,,,,1,1625,,1625,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,34,50,2728,138,22,male,18,tpr,prpt,1,0,2132,2132,2132,elephant4,,1,,,,,,,1,2132,,2132,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,34,56,2728,138,22,male,19,tpr,inhb,1,0,3913,3913,3913,apple,,1,,,,,,,1,3913,3913,,inhb,1,,1,
alexandra,24m2h,2024,9,17,14,35,4,2728,138,22,male,20,tpr,prpt,1,0,2197,2197,2197,elephant4,,1,,,,,,,1,2197,,2197,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,35,11,2728,138,22,male,21,tpr,prpt,1,0,2135,2135,2135,elephant4,,1,,,,,,,1,2135,,2135,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,35,17,2728,138,22,male,22,tpr,prpt,1,0,1324,1324,1324,flower,,1,,,,,,,1,1324,,1324,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,35,22,2728,138,22,male,23,tpr,prpt,1,0,1484,1484,1484,elephant2,,1,,,,,,,1,1484,,1484,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,35,28,2728,138,22,male,24,tpr,inhb,1,0,6151,6151,6151,bus,,1,,,,,,,0,6151,,,inhb,1,,1,
alexandra,24m2h,2024,9,17,14,35,39,2728,138,22,male,25,tpr,prpt,1,0,2901,2902,2902,bus,,1,,,,,,,1,2902,,2902,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,35,46,2728,138,22,male,26,tpr,prpt,1,0,1808,1808,1808,owl,,1,,,,,,,1,1808,,1808,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,35,51,2728,138,22,male,27,tpr,prpt,1,0,1820,1820,1820,flower,,1,,,,,,,1,1820,,1820,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,35,57,2728,138,22,male,28,tpr,inhb,1,0,3684,3684,3684,owl,,1,,,,,,,1,3684,3684,,inhb,1,,1,
alexandra,24m2h,2024,9,17,14,36,5,2728,138,22,male,29,tpr,inhb,1,0,1949,1949,1949,elephant2,,1,,,,,,,1,1949,1949,,inhb,1,,1,
alexandra,24m2h,2024,9,17,14,36,11,2728,138,22,male,30,tpr,prpt,1,0,6186,6186,6186,elephant4,,1,,,,,,,0,6186,,,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,36,22,2728,138,22,male,31,tpr,prpt,1,0,1728,1729,1729,elephant2,,1,,,,,,,1,1729,,1729,prpt,1,1,,
alexandra,24m2h,2024,9,17,14,36,27,2728,138,22,male,32,tpr,prpt,1,0,3624,3624,3624,elephant4,,1,,,,,,,1,3624,,3624,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2326,1808,,,24 out of 24,8 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,
