tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,11,18,14,30,4,2781,152,18,female,1,prr,,1,0,59116,59116,59116,elephant2,right,1,,none,none,none,,,0,59116,,,,1,,,ap
alexandra,24m2h,2024,11,18,14,31,8,2781,152,18,female,1,prr,,1,0,5961,5961,5961,bus,,1,,,,,,,0,5961,,,,1,,,
alexandra,24m2h,2024,11,18,14,31,18,2781,152,18,female,1,tpr,prpt,1,0,4783,4783,4783,flower,,1,,,,,,,1,4783,,,prpt,1,1,,
alexandra,24m2h,2024,11,18,14,31,27,2781,152,18,female,2,tpr,prpt,1,0,3636,5360,5360,flower,,1,,,,,,,0,5360,,,prpt,1,1,,
alexandra,24m2h,2024,11,18,14,31,36,2781,152,18,female,3,tpr,prpt,1,0,208,11704,11704,elephant,,1,,,,,Y,A,0,6019,,,prpt,1,1,,
alexandra,24m2h,2024,11,18,14,31,52,2781,152,18,female,4,tpr,prpt,1,0,3586,4836,4836,bus,,1,,,,,,,1,4836,,,prpt,1,1,,
alexandra,24m2h,2024,11,18,14,32,1,2781,152,18,female,5,tpr,inhb,0,0,2167,2168,2168,elephant2,,1,,,,,,,1,2168,,,inhb,0,,,
alexandra,24m2h,2024,11,18,14,32,21,2781,152,18,female,6,tpr,inhb,0,0,2253,2253,2253,elephant2,,1,,,,,,,1,2253,,,inhb,0,,,
alexandra,24m2h,2024,11,18,14,32,30,2781,152,18,female,7,tpr,prpt,0,0,233,1385,1385,flower,,1,,,,,,,1,1385,,,prpt,0,,,
alexandra,24m2h,2024,11,18,14,32,42,2781,152,18,female,8,tpr,prpt,1,0,277,2644,2644,flower,,1,,,,,,,1,2644,,,prpt,1,1,,
alexandra,24m2h,2024,11,18,14,32,48,2781,152,18,female,9,tpr,prpt,1,0,328,1403,1403,elephant,,1,,,,,,,1,1403,,,prpt,1,1,,
alexandra,24m2h,2024,11,18,14,32,54,2781,152,18,female,10,tpr,prpt,1,0,1536,1536,1536,owl,,1,,,,,,,1,1536,,,prpt,1,1,,
alexandra,24m2h,2024,11,18,14,32,59,2781,152,18,female,11,tpr,prpt,1,0,1298,1298,1298,apple,,1,,,,,,,1,1298,,,prpt,1,1,,
alexandra,24m2h,2024,11,18,14,33,5,2781,152,18,female,12,tpr,inhb,0,0,110,110,110,elephant4,,0,3,,,,,,1,110,,,inhb,0,,,
