tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2025,4,5,14,40,54,2959,169,21,male,1,prl,,1,0,10446,10447,10447,elephant4,left,1,,none,none,none,,,0,10447,,,,1,,,ap
alexandra,24m2h,2025,4,5,14,41,10,2959,169,21,male,1,prl,,1,0,333,1507,1507,elephant4,,1,,,,,,,1,1507,,,,1,,,
alexandra,24m2h,2025,4,5,14,41,16,2959,169,21,male,1,prl,,1,0,443,624,624,elephant2,,1,,,,,,,1,624,,,,1,,,
alexandra,24m2h,2025,4,5,14,41,22,2959,169,21,male,1,tpl,prpt,1,0,89,2266,2266,elephant2,,1,,,,,,,1,2266,,2266,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,41,28,2959,169,21,male,2,tpl,prpt,1,0,2724,2724,2724,apple,,1,,,,,,,1,2724,,2724,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,41,35,2959,169,21,male,3,tpl,prpt,1,0,1397,1412,1412,flower,,1,,,,,,,1,1412,,1412,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,41,41,2959,169,21,male,4,tpl,prpt,1,0,1148,1431,1431,bus,,1,,,,,,,1,1431,,1431,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,41,46,2959,169,21,male,5,tpl,prpt,1,0,266,266,266,bus,,0,3,,,,,,1,266,,,prpt,1,,,
alexandra,24m2h,2025,4,5,14,41,51,2959,169,21,male,6,tpl,inhb,0,0,109,2575,2575,apple,,1,,,,,,,1,2575,,,inhb,0,,,
alexandra,24m2h,2025,4,5,14,42,3,2959,169,21,male,7,tpl,prpt,1,0,3260,3260,3260,apple,,1,,,,,,,1,3260,,3260,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,42,10,2959,169,21,male,8,tpl,prpt,1,0,995,995,995,bus,,1,,,,,,,1,995,,995,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,42,15,2959,169,21,male,9,tpl,prpt,1,0,865,989,989,owl,,1,,,,,,,1,989,,989,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,42,20,2959,169,21,male,10,tpl,prpt,1,0,1281,1281,1281,apple,,1,,,,,,,1,1281,,1281,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,42,26,2959,169,21,male,11,tpl,prpt,1,0,2857,3315,3315,elephant2,,1,,,,,,,1,3315,,3315,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,42,33,2959,169,21,male,12,tpl,inhb,1,0,3136,3136,3136,elephant,,1,,,,,,,1,3136,3136,,inhb,1,,1,
alexandra,24m2h,2025,4,5,14,42,41,2959,169,21,male,13,tpl,prpt,1,0,2544,2760,2760,flower,,1,,,,,,,1,2760,,2760,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,42,48,2959,169,21,male,14,tpl,inhb,1,0,2422,3022,3022,elephant4,,1,,,,,,,1,3022,3022,,inhb,1,,1,
alexandra,24m2h,2025,4,5,14,42,55,2959,169,21,male,15,tpl,prpt,0,0,943,1134,1134,owl,,1,,,,,,,1,1134,,,prpt,0,,,
alexandra,24m2h,2025,4,5,14,43,3,2959,169,21,male,16,tpl,prpt,1,0,1248,1248,1248,bus,,1,,,,,,,1,1248,,1248,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,43,8,2959,169,21,male,17,tpl,prpt,1,0,345,345,345,bus,,1,,,,,,,1,345,,345,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,43,12,2959,169,21,male,18,tpl,prpt,1,0,995,995,995,elephant4,,1,,,,,,,1,995,,995,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,43,18,2959,169,21,male,19,tpl,inhb,1,0,1457,1457,1457,apple,,1,,,,,,,1,1457,1457,,inhb,1,,1,
alexandra,24m2h,2025,4,5,14,43,23,2959,169,21,male,20,tpl,inhb,1,0,1578,4036,4036,flower,,1,,,,,Y,C,1,1752,1752,,inhb,1,,1,
alexandra,24m2h,2025,4,5,14,43,32,2959,169,21,male,21,tpl,prpt,1,0,1449,1950,1950,apple,,1,,,,,,,1,1950,,1950,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,43,38,2959,169,21,male,22,tpl,prpt,1,0,4132,4132,4132,owl,,1,,,,,,,1,4132,,4132,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,43,46,2959,169,21,male,23,tpl,prpt,1,0,1133,1133,1133,elephant,,1,,,,,,,1,1133,,1133,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,43,51,2959,169,21,male,24,tpl,prpt,1,0,1262,1262,1262,owl,,1,,,,,,,1,1262,,1262,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,43,57,2959,169,21,male,25,tpl,prpt,1,0,717,1000,1000,elephant2,,1,,,,,,,1,1000,,1000,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,44,2,2959,169,21,male,26,tpl,inhb,1,0,1766,4250,4250,flower,,1,,,,,y,c,1,1761,1761,,inhb,1,,1,
alexandra,24m2h,2025,4,5,14,44,10,2959,169,21,male,27,tpl,inhb,1,0,1250,1250,1250,apple,,1,,,,,,,1,1250,1250,,inhb,1,,1,
alexandra,24m2h,2025,4,5,14,44,16,2959,169,21,male,28,tpl,prpt,1,0,1058,1058,1058,elephant2,,1,,,,,,,1,1058,,1058,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,44,21,2959,169,21,male,29,tpl,prpt,1,0,3355,3356,3356,elephant4,,1,,,,,,,1,3356,,3356,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,44,29,2959,169,21,male,30,tpl,prpt,1,0,1615,1615,1615,elephant2,,1,,,,,,,1,1615,,1615,prpt,1,1,,
alexandra,24m2h,2025,4,5,14,44,34,2959,169,21,male,31,tpl,inhb,1,0,1785,6361,6361,owl,,1,,,,,y,c,1,2287,2287,,inhb,1,,1,
alexandra,24m2h,2025,4,5,14,44,45,2959,169,21,male,32,tpl,prpt,1,0,1892,1892,1892,elephant,,1,,,,,,,1,1892,,1892,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1421.5,,,22 out of 23,7 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9566,0.875,
