"tester","testName","year","mth","day","hour","min","sec","partNo","partRef","age","gender","trialNo","trialType","trialVar","accu","dotPr","touchTime","respTime","trialTime","animShown","prpt.location","validity_basedonRT","reason.invalid","terminated.early.","reason.terminated","held.back.","override.software","Reason.overwritten","retain.RT.as..5000ms","respTime.1","median.time.inh.","med..Time.prpt","trialVar.1","accu.1","accu.prpt","accu.inh","coder","notes","med..time.inh.","Coder","med..Time.inh","median.prpt.time","median.inh.time","inh","prpt","coder.initials","accuracy.prpt","accuracy.inh","X","X.1","trialVariant","avgDotPressed","avgAccuracy","noOfResps","id"
"alexandra","24m2h",2024,6,15,14,53,54,2541,101,23,"female",13,"tpr","prpt",1,0,1658,1659,1659,"elephant2","",1,"","","","","","",1,1659,NA,1659,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,0,2541,101,23,"female",14,"tpr","prpt",1,0,6101,6101,6101,"bus","",1,"","","","","","",0,6101,NA,NA,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,10,2541,101,23,"female",15,"tpr","prpt",1,0,1334,1334,1334,"bus","",1,"","","","","","",1,1334,NA,1334,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,15,2541,101,23,"female",16,"tpr","inhb",1,0,1638,1638,1638,"elephant4","",1,"","","","","","",1,1638,1638,NA,"inhb",1,"","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,21,2541,101,23,"female",17,"tpr","inhb",1,0,2020,2021,2021,"flower","",1,"","","","","","",1,2021,2021,NA,"inhb",1,"","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,27,2541,101,23,"female",18,"tpr","prpt",1,0,2373,2373,2373,"elephant2","",1,"","","","","","",1,2373,NA,2373,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,34,2541,101,23,"female",19,"tpr","prpt",1,0,2190,2190,2190,"bus","",1,"","","","","","",1,2190,NA,2190,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,40,2541,101,23,"female",20,"tpr","prpt",1,0,1545,1545,1545,"elephant4","",1,"","","","","","",1,1545,NA,1545,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,46,2541,101,23,"female",21,"tpr","inhb",0,0,1119,1119,1119,"elephant","",1,"","","","","","",1,1119,NA,NA,"inhb",0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,52,2541,101,23,"female",22,"tpr","prpt",1,0,1912,1912,1912,"elephant2","",1,"","","","","","",1,1912,NA,1912,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,54,59,2541,101,23,"female",23,"tpr","prpt",1,0,1933,1933,1933,"elephant","",1,"","","","","","",1,1933,NA,1933,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,55,5,2541,101,23,"female",24,"tpr","prpt",1,0,1629,1629,1629,"elephant","",1,"","","","","","",1,1629,NA,1629,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,55,11,2541,101,23,"female",25,"tpr","prpt",1,0,4241,4242,4242,"flower","",1,"","","","","","",1,4242,NA,4242,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,55,19,2541,101,23,"female",26,"tpr","prpt",1,0,1598,1598,1598,"bus","",1,"","","","","","",1,1598,NA,1598,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,55,25,2541,101,23,"female",27,"tpr","inhb",1,0,2242,2243,2243,"apple","",1,"","","","","","",1,2243,2243,NA,"inhb",1,"","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,55,31,2541,101,23,"female",28,"tpr","prpt",1,0,1561,1561,1561,"apple","",1,"","","","","","",1,1561,NA,1561,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,55,37,2541,101,23,"female",29,"tpr","prpt",1,0,3110,3111,3111,"elephant2","",1,"","","","","","",1,3111,NA,3111,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,55,44,2541,101,23,"female",30,"tpr","prpt",1,0,1719,1719,1719,"elephant","",1,"","","","","","",1,1719,NA,1719,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,55,50,2541,101,23,"female",31,"tpr","prpt",1,0,1735,1735,1735,"elephant","",1,"","","","","","",1,1735,NA,1735,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,15,14,55,56,2541,101,23,"female",32,"tpr","prpt",1,0,1920,1921,1921,"bus","",1,"","","","","","",1,1921,NA,1921,"prpt",1,"1","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101"
"alexandra","24m2h",2024,6,8,20,52,58,2533,102,21,"female",1,"prl","",1,0,13762,13763,13763,"owl","left ",1,"none","none","none","none","none","none",0,13763,NA,NA,"",1,"","","AP","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,53,18,2533,102,21,"female",1,"prl","",1,0,3932,3932,3932,"owl","",1,"","","","","","",1,3932,NA,NA,"",1,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,53,31,2533,102,21,"female",1,"tpl","prpt",1,0,4082,4082,4082,"flower","",1,"","","","","","",1,4082,NA,4082,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,53,39,2533,102,21,"female",2,"tpl","prpt",1,0,9123,9123,9123,"owl","",1,"","","","","","",0,9123,NA,NA,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,53,52,2533,102,21,"female",3,"tpl","prpt",1,0,3262,3262,3262,"apple","",1,"","","","","","",1,3262,NA,3262,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,53,59,2533,102,21,"female",4,"tpl","prpt",1,0,6340,6341,6341,"flower","",1,"","","","","","",0,6341,NA,NA,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,54,10,2533,102,21,"female",5,"tpl","prpt",1,0,4970,4970,4970,"flower","",1,"","","","","","",1,4970,NA,4970,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,54,19,2533,102,21,"female",6,"tpl","inhb",1,0,4195,4196,4196,"apple","",1,"","","","","","",1,4196,NA,NA,"inhb",1,"","1","","",4196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,54,27,2533,102,21,"female",7,"tpl","prpt",1,0,5619,5619,5619,"apple","",1,"","","","","","",0,5619,NA,NA,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,54,37,2533,102,21,"female",8,"tpl","prpt",1,0,2484,2484,2484,"elephant","",1,"","","","","","",1,2484,NA,2484,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,54,44,2533,102,21,"female",9,"tpl","prpt",1,0,2471,2471,2471,"elephant","",1,"","","","","","",1,2471,NA,2471,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,54,51,2533,102,21,"female",10,"tpl","prpt",1,0,2815,2815,2815,"bus","",1,"","","","","","",1,2815,NA,2815,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,54,58,2533,102,21,"female",11,"tpl","prpt",1,0,1769,2078,2078,"owl","",1,"","","","","","",1,2078,NA,2078,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,55,4,2533,102,21,"female",12,"tpl","inhb",0,0,2197,2197,2197,"elephant2","",1,"","","","","","",1,2197,NA,NA,"inhb",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,55,16,2533,102,21,"female",13,"tpl","prpt",1,0,1894,1894,1894,"apple","",1,"","","","","","",1,1894,NA,1894,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
