"id","age.y","gender.y","trialVar","accu","respTime","income","domlanguagepercent","nondomlanguagepercent","category25","trialNo","age_c","nondom_c"
101,23.13,1,NA,1,6124,6,99,1,"uni",1,2.67523862998316,-22.3531723750702
101,23.13,1,NA,1,5135,6,99,1,"uni",1,2.67523862998316,-22.3531723750702
101,23.13,1,NA,1,9134,6,99,1,"uni",1,2.67523862998316,-22.3531723750702
101,23.13,1,NA,1,22572,6,99,1,"uni",1,2.67523862998316,-22.3531723750702
101,23.13,1,NA,1,74971,6,99,1,"uni",1,2.67523862998316,-22.3531723750702
101,23.13,1,NA,1,39481,6,99,1,"uni",1,2.67523862998316,-22.3531723750702
101,23.13,1,NA,1,6591,6,99,1,"uni",1,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1582,6,99,1,"uni",1,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,2328,6,99,1,"uni",2,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1792,6,99,1,"uni",3,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1373,6,99,1,"uni",4,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1688,6,99,1,"uni",5,2.67523862998316,-22.3531723750702
101,23.13,1,"inhb",1,2975,6,99,1,"uni",6,2.67523862998316,-22.3531723750702
101,23.13,1,"inhb",1,1513,6,99,1,"uni",7,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,2839,6,99,1,"uni",8,2.67523862998316,-22.3531723750702
101,23.13,1,"inhb",1,2959,6,99,1,"uni",9,2.67523862998316,-22.3531723750702
101,23.13,1,"inhb",1,1245,6,99,1,"uni",10,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1795,6,99,1,"uni",11,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1363,6,99,1,"uni",12,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1659,6,99,1,"uni",13,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,6101,6,99,1,"uni",14,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1334,6,99,1,"uni",15,2.67523862998316,-22.3531723750702
101,23.13,1,"inhb",1,1638,6,99,1,"uni",16,2.67523862998316,-22.3531723750702
101,23.13,1,"inhb",1,2021,6,99,1,"uni",17,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,2373,6,99,1,"uni",18,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,2190,6,99,1,"uni",19,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1545,6,99,1,"uni",20,2.67523862998316,-22.3531723750702
101,23.13,1,"inhb",0,1119,6,99,1,"uni",21,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1912,6,99,1,"uni",22,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1933,6,99,1,"uni",23,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1629,6,99,1,"uni",24,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,4242,6,99,1,"uni",25,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1598,6,99,1,"uni",26,2.67523862998316,-22.3531723750702
101,23.13,1,"inhb",1,2243,6,99,1,"uni",27,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1561,6,99,1,"uni",28,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,3111,6,99,1,"uni",29,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1719,6,99,1,"uni",30,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1735,6,99,1,"uni",31,2.67523862998316,-22.3531723750702
101,23.13,1,"prpt",1,1921,6,99,1,"uni",32,2.67523862998316,-22.3531723750702
102,20.33,1,NA,1,13763,6,47,53,"bi",1,-0.124761370016845,29.6468276249298
102,20.33,1,NA,1,3932,6,47,53,"bi",1,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,4082,6,47,53,"bi",1,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,9123,6,47,53,"bi",2,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,3262,6,47,53,"bi",3,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,6341,6,47,53,"bi",4,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,4970,6,47,53,"bi",5,-0.124761370016845,29.6468276249298
102,20.33,1,"inhb",1,4196,6,47,53,"bi",6,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,5619,6,47,53,"bi",7,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,2484,6,47,53,"bi",8,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,2471,6,47,53,"bi",9,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,2815,6,47,53,"bi",10,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,2078,6,47,53,"bi",11,-0.124761370016845,29.6468276249298
102,20.33,1,"inhb",0,2197,6,47,53,"bi",12,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,1894,6,47,53,"bi",13,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,863,6,47,53,"bi",14,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,1297,6,47,53,"bi",15,-0.124761370016845,29.6468276249298
102,20.33,1,"inhb",0,1301,6,47,53,"bi",16,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,1383,6,47,53,"bi",17,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,11933,6,47,53,"bi",18,-0.124761370016845,29.6468276249298
102,20.33,1,"inhb",0,7130,6,47,53,"bi",19,-0.124761370016845,29.6468276249298
102,20.33,1,"inhb",1,3536,6,47,53,"bi",20,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",0,2234,6,47,53,"bi",21,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,1211,6,47,53,"bi",22,-0.124761370016845,29.6468276249298
