tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,Coder
alexandra,24m2h,2024,7,27,18,30,19,2622,122,17,male,1,prl,,1,0,17758,17759,17759,elephant2,left,1,,none,none,none,none,none,0,none,17759,,,,1,,,AP
alexandra,24m2h,2024,7,27,18,30,41,2622,122,17,male,1,prl,,1,0,4154,4154,4154,flower,,1,,,,,,,1,,4154,,,,1,,,
alexandra,24m2h,2024,7,27,18,30,51,2622,122,17,male,1,tpl,prpt,0,0,1397,1397,1397,elephant4,,1,9,,,,,,1,,1397,,,prpt,0,,,
alexandra,24m2h,2024,7,27,18,31,1,2622,122,17,male,2,tpl,prpt,1,0,1755,1755,1755,bus,,1,,,,,,,1,,1755,,1755,prpt,1,1,,
alexandra,24m2h,2024,7,27,18,31,7,2622,122,17,male,3,tpl,prpt,1,0,1248,1263,1263,owl,,1,,,,,,,1,,1263,,1263,prpt,1,1,,
alexandra,24m2h,2024,7,27,18,31,12,2622,122,17,male,4,tpl,prpt,0,0,1010,1010,1010,owl,,1,,,,,,,1,,1010,,,prpt,0,,,
alexandra,24m2h,2024,7,27,18,31,20,2622,122,17,male,5,tpl,inhb,1,0,1468,1483,1483,elephant,,1,,,,,,,1,,1483,1483,,inhb,1,,1,
alexandra,24m2h,2024,7,27,18,31,25,2622,122,17,male,6,tpl,inhb,1,0,1545,1545,1545,elephant4,,1,,,,,,,1,,1545,1545,,inhb,1,,1,
alexandra,24m2h,2024,7,27,18,31,31,2622,122,17,male,7,tpl,prpt,1,0,115,1409,1409,bus,,1,,,,,,,1,,1409,,1409,prpt,1,1,,
alexandra,24m2h,2024,7,27,18,31,37,2622,122,17,male,8,tpl,inhb,1,0,1169,1169,1169,apple,,1,,,,,,,1,,1169,1169,,inhb,1,,1,
alexandra,24m2h,2024,7,27,18,31,42,2622,122,17,male,9,tpl,inhb,1,0,1143,1143,1143,flower,,1,,,,,,,1,,1143,1143,,inhb,1,,1,
alexandra,24m2h,2024,7,27,18,31,47,2622,122,17,male,10,tpl,prpt,0,0,1229,1796,1796,apple,,1,,,,,,,1,,1796,,,prpt,0,,,
alexandra,24m2h,2024,7,27,18,31,55,2622,122,17,male,11,tpl,prpt,0,0,1477,1478,1478,flower,,1,,,,,,,1,,1478,,,prpt,0,,,
alexandra,24m2h,2024,7,27,18,32,2,2622,122,17,male,12,tpl,prpt,0,0,410,1319,1319,flower,,1,,,,,,,1,,1319,,,prpt,0,,,
alexandra,24m2h,2024,7,27,18,32,8,2622,122,17,male,13,tpl,prpt,1,0,1704,2012,2012,apple,,1,,,,,,,1,,2012,,2012,prpt,1,1,,
alexandra,24m2h,2024,7,27,18,32,14,2622,122,17,male,14,tpl,prpt,1,0,4661,4661,4661,bus,,1,,,,,,,1,,4661,,4661,prpt,1,1,,
alexandra,24m2h,2024,7,27,18,32,23,2622,122,17,male,15,tpl,inhb,1,0,200,1135,1135,elephant,,1,,,,,,,1,,1135,1135,,inhb,1,,1,
alexandra,24m2h,2024,7,27,18,32,29,2622,122,17,male,16,tpl,prpt,1,0,198,3857,3857,apple,,1,,,,,,,1,,3857,,3857,prpt,1,1,,
