tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2025,2,25,15,2,9,2891,167,16,female,1,prl,,1,0,4367,4368,4368,elephant2,left,1,none,none,none,none,none,none,1,4368,,,,1,,,AP
alexandra,24m2h,2025,2,25,15,2,19,2891,167,16,female,1,prl,,1,0,6589,6874,6874,elephant,,1,,,,,,,0,6874,,,,1,,,
alexandra,24m2h,2025,2,25,15,2,35,2891,167,16,female,1,tpl,prpt,1,0,2823,4410,4410,apple,,1,,,,,,,1,4410,,4410,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,2,43,2891,167,16,female,2,tpl,prpt,1,0,653,2485,2485,flower,,1,,,,,,,1,2485,,2485,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,2,50,2891,167,16,female,3,tpl,prpt,1,0,1948,1971,1971,elephant4,,1,,,,,,,1,1971,,1971,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,2,56,2891,167,16,female,4,tpl,prpt,1,0,861,1469,1469,elephant2,,1,,,,,,,1,1469,,1469,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,3,2,2891,167,16,female,5,tpl,prpt,1,0,1447,8042,8042,elephant,,1,,,,,,,0,8042,,,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,3,14,2891,167,16,female,6,tpl,inhb,1,0,2904,4261,4261,flower,,1,,,,,,,1,4261,4261,,inhb,1,,1,
alexandra,24m2h,2025,2,25,15,3,23,2891,167,16,female,7,tpl,prpt,1,0,2462,2462,2462,bus,,1,,,,,,,1,2462,,2462,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,3,29,2891,167,16,female,8,tpl,inhb,0,0,1339,1354,1354,owl,,1,,,,,,,1,1354,,,inhb,0,,,
alexandra,24m2h,2025,2,25,15,3,40,2891,167,16,female,9,tpl,prpt,1,0,1604,2126,2126,owl,,1,,,,,,,1,2126,,2126,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,3,46,2891,167,16,female,10,tpl,prpt,1,0,983,4176,4176,elephant2,,1,,,,,,,1,4176,,4176,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,3,55,2891,167,16,female,11,tpl,prpt,1,0,1604,1914,1914,bus,,1,,,,,,,1,1914,,1914,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,4,1,2891,167,16,female,12,tpl,prpt,1,0,1040,1199,1199,owl,,1,,,,,,,1,1199,,1199,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,4,6,2891,167,16,female,13,tpl,inhb,0,0,135,1420,1420,bus,,1,,,,,,,1,1420,,,inhb,0,,,
alexandra,24m2h,2025,2,25,15,4,13,2891,167,16,female,14,tpl,prpt,1,0,1263,2569,2569,elephant4,,1,,,,,,,1,2569,,2569,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,4,20,2891,167,16,female,15,tpl,inhb,0,0,1603,1603,1603,bus,,1,,,,,,,1,1603,,,inhb,0,,,
alexandra,24m2h,2025,2,25,15,4,28,2891,167,16,female,16,tpl,prpt,1,0,1061,1061,1061,elephant2,,1,,,,,,,1,1061,,1061,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,4,33,2891,167,16,female,17,tpl,prpt,1,0,1129,1129,1129,owl,,1,,,,,,,1,1129,,1129,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,4,39,2891,167,16,female,18,tpl,inhb,0,0,2323,2323,2323,flower,,1,,,,,,,1,2323,,,inhb,0,,,
alexandra,24m2h,2025,2,25,15,4,46,2891,167,16,female,19,tpl,prpt,1,0,739,1022,1022,elephant4,,1,,,,,,,1,1022,,1022,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,4,52,2891,167,16,female,20,tpl,prpt,1,0,761,2137,2137,flower,,1,,,,,,,1,2137,,2137,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,4,58,2891,167,16,female,21,tpl,inhb,0,0,8321,8612,8612,elephant2,,1,,,,,,,0,8612,,,inhb,0,,,
alexandra,24m2h,2025,2,25,15,5,12,2891,167,16,female,22,tpl,inhb,0,0,1450,1450,1450,flower,,1,,,,,,,1,1450,,,inhb,0,,,
alexandra,24m2h,2025,2,25,15,5,26,2891,167,16,female,23,tpl,prpt,1,0,4281,4764,4764,elephant2,,1,,,,,,,1,4764,,4764,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,5,35,2891,167,16,female,24,tpl,prpt,1,0,4409,4426,4426,owl,,1,,,,,,,1,4426,,4426,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,5,44,2891,167,16,female,25,tpl,prpt,1,0,1066,1106,1106,owl,,1,,,,,,,1,1106,,1106,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,5,49,2891,167,16,female,26,tpl,prpt,1,0,3031,3031,3031,elephant,,1,,,,,,,1,3031,,3031,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,5,56,2891,167,16,female,27,tpl,prpt,1,0,341,1249,1249,owl,,1,,,,,,,1,1249,,1249,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,6,2,2891,167,16,female,28,tpl,inhb,0,0,1845,1846,1846,apple,,1,,,,,,,1,1846,,,inhb,0,,,
alexandra,24m2h,2025,2,25,15,6,9,2891,167,16,female,29,tpl,prpt,1,0,371,1519,1519,elephant2,,1,,,,,,,1,1519,,1519,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,6,15,2891,167,16,female,30,tpl,prpt,1,0,2472,2496,2496,apple,,1,,,,,,,1,2496,,2496,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,6,21,2891,167,16,female,31,tpl,prpt,1,0,270,712,712,flower,,1,,,,,,,1,712,,712,prpt,1,1,,
alexandra,24m2h,2025,2,25,15,6,26,2891,167,16,female,32,tpl,prpt,1,0,3368,3833,3833,elephant,,1,,,,,,,1,3833,,3833,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4261,2126,,,24 out of 24,1 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.125,
