tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2025,3,22,14,27,59,2939,170,23,female,1,prr,,1,0,4674,4675,4675,elephant,right,1,none,none,none,none,,,1,none,4675,,,,1,,,AP
alexandra,24m2h,2025,3,22,14,28,8,2939,170,23,female,1,prr,,1,0,10439,10439,10439,flower,,1,,,,,,,0,,10439,,,,1,,,
alexandra,24m2h,2025,3,22,14,28,23,2939,170,23,female,1,prr,,1,0,9088,9088,9088,elephant,,1,,,,,,,0,,9088,,,,1,,,
alexandra,24m2h,2025,3,22,14,28,38,2939,170,23,female,1,prr,,1,0,7456,11531,11531,flower,,1,,,,,,,0,,11531,,,,1,,,
alexandra,24m2h,2025,3,22,14,28,54,2939,170,23,female,1,prr,,1,0,1303,1303,1303,owl,,1,,,,,,,1,,1303,,,,1,,,
alexandra,24m2h,2025,3,22,14,29,0,2939,170,23,female,1,tpr,prpt,1,0,511,2444,2444,elephant4,,1,,,,,,,1,,2444,,2444,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,29,7,2939,170,23,female,2,tpr,prpt,1,0,1769,1770,1770,elephant2,,1,,,,,,,1,,1770,,1770,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,29,13,2939,170,23,female,3,tpr,prpt,1,0,1058,2341,2341,apple,,1,,,,,,,1,,2341,,2341,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,29,19,2939,170,23,female,4,tpr,prpt,1,0,976,3208,3208,elephant4,,1,,,,,y,c,1,,1760,,1760,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,29,27,2939,170,23,female,5,tpr,prpt,1,0,92,949,949,elephant2,,1,,,,,,,1,,949,,949,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,29,32,2939,170,23,female,6,tpr,inhb,0,0,918,918,918,elephant2,,1,,,,,,,1,,918,,,inhb,0,,,
alexandra,24m2h,2025,3,22,14,29,39,2939,170,23,female,7,tpr,inhb,1,0,1994,2017,2017,flower,,1,,,,,,,1,,2017,2017,,inhb,1,,1,
alexandra,24m2h,2025,3,22,14,29,45,2939,170,23,female,8,tpr,prpt,1,0,2346,2346,2346,elephant,,1,,,,,,,1,,2346,,2346,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,29,52,2939,170,23,female,9,tpr,prpt,1,0,1193,1193,1193,apple,,1,,,,,,,1,,1193,,1193,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,29,57,2939,170,23,female,10,tpr,prpt,1,0,32,3450,3450,elephant,,1,,,,,y,c,1,,1664,,1664,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,30,5,2939,170,23,female,11,tpr,prpt,1,0,1784,2206,2206,apple,,1,,,,,,,1,,2206,,2206,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,30,11,2939,170,23,female,12,tpr,prpt,1,0,1176,1176,1176,elephant,,1,,,,,,,1,,1176,,1176,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,30,16,2939,170,23,female,13,tpr,inhb,1,0,2467,2467,2467,elephant4,,1,,,,,,,1,,2467,2467,,inhb,1,,1,
alexandra,24m2h,2025,3,22,14,30,23,2939,170,23,female,14,tpr,prpt,1,0,4185,5026,5026,flower,,1,,,,,,,0,,5026,,,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,30,32,2939,170,23,female,15,tpr,prpt,1,0,1167,1167,1167,bus,,1,,,,,,,1,,1167,,1167,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,30,38,2939,170,23,female,16,tpr,prpt,1,0,4217,5375,5375,bus,,1,,,,,,,0,,5375,,,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,30,47,2939,170,23,female,17,tpr,prpt,1,0,1233,1615,1615,apple,,1,,,,,,,1,,1615,,1615,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,30,53,2939,170,23,female,18,tpr,prpt,1,0,1053,1053,1053,owl,,1,,,,,,,1,,1053,,1053,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,30,58,2939,170,23,female,19,tpr,inhb,0,0,1426,1426,1426,bus,,1,,,,,,,1,,1426,,,inhb,0,,,
alexandra,24m2h,2025,3,22,14,31,8,2939,170,23,female,20,tpr,prpt,1,0,971,3380,3380,elephant4,,1,,,,,y,c,1,,1487,,1487,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,31,15,2939,170,23,female,21,tpr,prpt,1,0,810,810,810,elephant,,1,,,,,,,1,,810,,810,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,31,20,2939,170,23,female,22,tpr,prpt,1,0,1361,9089,9089,owl,,1,,,,,y,c,1,,1736,,1736,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,31,34,2939,170,23,female,23,tpr,prpt,1,0,1019,2334,2334,apple,,1,,,,,,,1,,2334,,2334,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,31,40,2939,170,23,female,24,tpr,prpt,1,0,9732,9732,9732,owl,,1,,,,,,,0,,9732,,,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,31,54,2939,170,23,female,25,tpr,inhb,0,0,1832,2523,2523,flower,,1,,,,,,,1,,2523,,,inhb,0,,,
alexandra,24m2h,2025,3,22,14,32,1,2939,170,23,female,26,tpr,prpt,1,0,3112,4079,4079,bus,,1,,,,,,,1,,4079,,4079,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,32,10,2939,170,23,female,27,tpr,inhb,1,0,302,1320,1320,owl,,1,,,,,,,1,,1320,1320,,inhb,1,,1,
alexandra,24m2h,2025,3,22,14,32,15,2939,170,23,female,28,tpr,prpt,1,0,1611,1611,1611,elephant,,1,,,,,,,1,,1611,,1611,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,32,21,2939,170,23,female,29,tpr,inhb,1,0,1178,1178,1178,elephant,,1,,,,,,,1,,1178,1178,,inhb,1,,1,
alexandra,24m2h,2025,3,22,14,32,26,2939,170,23,female,30,tpr,prpt,1,0,891,891,891,elephant2,,1,,,,,,,1,,891,,891,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,32,31,2939,170,23,female,31,tpr,prpt,1,0,1466,1506,1506,flower,,1,,,,,,,1,,1506,,1506,prpt,1,1,,
alexandra,24m2h,2025,3,22,14,32,37,2939,170,23,female,32,tpr,inhb,1,0,1151,1151,1151,flower,,1,,,,,,,1,,1151,1151,,inhb,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,1615,,,100%,5 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,
