tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2025,4,12,17,57,28,2966,179,17,male,1,prr,,1,0,7014,7015,7015,elephant4,right ,1,,none,none,none,,,0,7015,,,,1,,,ap
alexandra,24m2h,2025,4,12,17,57,46,2966,179,17,male,1,prr,,1,0,12493,13226,13226,flower,,1,,,,,,,0,13226,,,,1,,,
alexandra,24m2h,2025,4,12,17,58,4,2966,179,17,male,1,tpr,prpt,1,0,224,224,224,apple,,0,3,,,,,,1,224,,,prpt,1,,,
alexandra,24m2h,2025,4,12,17,58,9,2966,179,17,male,1,tpr,prpt,1,0,30,19779,19779,apple,,1,,,,,,,1,3425,,3425,prpt,1,1,,
alexandra,24m2h,2025,4,12,17,58,33,2966,179,17,male,2,tpr,prpt,1,0,254,1248,1248,elephant,,1,,,,,Y,c,1,1248,,1248,prpt,1,1,,
alexandra,24m2h,2025,4,12,17,58,39,2966,179,17,male,3,tpr,prpt,1,0,10509,17802,17802,owl,,1,,,,,,,0,17802,,,prpt,1,1,,
alexandra,24m2h,2025,4,12,17,59,1,2966,179,17,male,4,tpr,prpt,1,0,1519,1519,1519,owl,,1,,,,,,,1,1519,,1519,prpt,1,1,,
alexandra,24m2h,2025,4,12,17,59,6,2966,179,17,male,5,tpr,prpt,1,0,1292,1292,1292,elephant2,,1,,,,,,,1,1292,,1292,prpt,1,1,,
alexandra,24m2h,2025,4,12,17,59,12,2966,179,17,male,6,tpr,inhb,0,0,4709,4709,4709,owl,,1,,,,,,,1,4709,,,inhb,0,,,
alexandra,24m2h,2025,4,12,17,59,22,2966,179,17,male,7,tpr,prpt,1,0,2290,2290,2290,elephant2,,1,,,,,,,1,2290,,2290,prpt,1,1,,
alexandra,24m2h,2025,4,12,17,59,29,2966,179,17,male,8,tpr,prpt,1,0,1254,1254,1254,elephant2,,1,,,,,,,1,1254,,1254,prpt,1,1,,
alexandra,24m2h,2025,4,12,17,59,34,2966,179,17,male,9,tpr,prpt,1,0,2933,3408,3408,bus,,1,,,,,,,1,3408,,3408,prpt,1,1,,
alexandra,24m2h,2025,4,12,17,59,42,2966,179,17,male,10,tpr,prpt,1,0,1772,1772,1772,owl,,1,,,,,,,1,1772,,1772,prpt,1,1,,
alexandra,24m2h,2025,4,12,17,59,48,2966,179,17,male,11,tpr,prpt,1,0,661,3354,3354,elephant4,,1,,,,,y,c,1,1608,,1608,prpt,1,1,,
alexandra,24m2h,2025,4,12,17,59,55,2966,179,17,male,12,tpr,inhb,1,0,1900,1900,1900,flower,,1,,,,,,,1,1900,1900,,inhb,1,,1,
alexandra,24m2h,2025,4,12,18,0,1,2966,179,17,male,13,tpr,prpt,1,0,1549,1549,1549,elephant2,,1,,,,,,,1,1549,,1549,prpt,1,1,,
alexandra,24m2h,2025,4,12,18,0,7,2966,179,17,male,14,tpr,inhb,0,0,1361,1362,1362,owl,,1,,,,,,,1,1362,,,inhb,0,,,
alexandra,24m2h,2025,4,12,18,0,16,2966,179,17,male,15,tpr,prpt,1,0,12094,12094,12094,elephant2,,1,,,,,,,0,12094,,,prpt,1,1,,
alexandra,24m2h,2025,4,12,18,0,32,2966,179,17,male,16,tpr,inhb,0,0,1828,4904,4904,elephant,,1,,,,,,,1,4904,,,inhb,0,,,
alexandra,24m2h,2025,4,12,18,0,43,2966,179,17,male,17,tpr,inhb,0,0,15530,15530,15530,elephant2,,1,,,,,,,0,15530,,,inhb,0,,,
alexandra,24m2h,2025,4,12,18,1,4,2966,179,17,male,18,tpr,prpt,0,0,5430,5430,5430,elephant2,,1,,,,,,,0,5430,,,prpt,0,,,
alexandra,24m2h,2025,4,12,18,1,15,2966,179,17,male,19,tpr,inhb,1,0,5435,5501,5501,bus,,1,,,,,,,0,5501,,,inhb,1,,1,
alexandra,24m2h,2025,4,12,18,1,25,2966,179,17,male,20,tpr,prpt,1,0,711,1335,1335,elephant4,,1,,,,,,,1,1335,,1335,prpt,1,1,,
alexandra,24m2h,2025,4,12,18,1,30,2966,179,17,male,21,tpr,prpt,1,0,446,906,906,apple,,1,,,,,,,1,906,,906,prpt,1,1,,
alexandra,24m2h,2025,4,12,18,1,35,2966,179,17,male,22,tpr,prpt,0,0,824,2932,2932,elephant,,1,,,,,,,1,2932,,,prpt,0,,,
alexandra,24m2h,2025,4,12,18,2,5,2966,179,17,male,23,tpr,inhb,1,0,9374,9474,9474,owl,,1,5,,,,,,0,9474,,,inhb,1,,,
alexandra,24m2h,2025,4,12,18,2,19,2966,179,17,male,24,tpr,prpt,0,0,2442,2442,2442,elephant,,1,,,,,,,1,2442,,,prpt,0,,,
alexandra,24m2h,2025,4,12,18,2,27,2966,179,17,male,25,tpr,prpt,1,0,2161,46479,46479,elephant2,,1,,,,,,,0,46479,,,prpt,1,1,,
alexandra,24m2h,2025,4,12,18,3,18,2966,179,17,male,26,tpr,prpt,1,0,1790,1790,1790,owl,,1,,,,,,,1,1790,,1790,prpt,1,1,,
alexandra,24m2h,2025,4,12,18,3,24,2966,179,17,male,27,tpr,prpt,1,0,114,14155,14155,bus,,1,,,,,,,0,14155,,,prpt,1,1,,
alexandra,24m2h,2025,4,12,18,3,42,2966,179,17,male,28,tpr,prpt,1,0,10716,15451,15451,apple,,1,,,,,,,0,15451,,,prpt,1,1,,
alexandra,24m2h,2025,4,12,18,4,2,2966,179,17,male,29,tpr,inhb,0,0,194,770,770,bus,,1,,,,,,,1,770,,,inhb,0,,,
alexandra,24m2h,2025,4,12,18,4,13,2966,179,17,male,30,tpr,prpt,0,0,838,937,937,elephant4,,1,,,,,,,1,937,,,prpt,0,,,
alexandra,24m2h,2025,4,12,18,4,20,2966,179,17,male,31,tpr,prpt,1,0,406,421,421,elephant,,1,,,,,,,1,421,,421,prpt,1,1,,
alexandra,24m2h,2025,4,12,18,4,24,2966,179,17,male,32,tpr,prpt,1,0,1623,29024,29024,elephant,,1,,,,,,,0,29024,,,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1534,,,20 out of 24,2 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333,0.25,
