tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. Time inh,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2025,2,15,14,32,58,2868,164,19,male,1,prl,,1,0,32,5710,5710,apple,right,1,,no,,none,,none,0,none,5710,,,,1,,,AP
alexandra,24m2h,2025,2,15,14,33,11,2868,164,19,male,1,prl,,1,0,2153,2153,2153,bus,,1,,,,,,,1,,2153,,,,1,,,
alexandra,24m2h,2025,2,15,14,33,19,2868,164,19,male,1,tpl,prpt,1,0,2776,2776,2776,flower,,1,,,,,,,1,,2776,,2776,prpt,1,1,,
alexandra,24m2h,2025,2,15,14,33,26,2868,164,19,male,2,tpl,prpt,1,0,2541,6725,6725,bus,,1,,,,,,,0,,6725,,,prpt,1,1,,
alexandra,24m2h,2025,2,15,14,33,37,2868,164,19,male,3,tpl,prpt,1,0,2473,3223,3223,apple,,1,,,,,,,1,,3223,,3223,prpt,1,1,,
alexandra,24m2h,2025,2,15,14,33,44,2868,164,19,male,4,tpl,prpt,1,0,2775,2782,2782,apple,,1,,,,,,,1,,2782,,2782,prpt,1,1,,
alexandra,24m2h,2025,2,15,14,33,51,2868,164,19,male,5,tpl,inhb,1,0,10884,10885,10885,flower,,1,,,,,,,0,,10885,,,inhb,1,,1,
alexandra,24m2h,2025,2,15,14,34,6,2868,164,19,male,6,tpl,prpt,1,0,2014,2053,2053,flower,,1,,,,,,,1,,2053,,2053,prpt,1,1,,
alexandra,24m2h,2025,2,15,14,34,12,2868,164,19,male,7,tpl,prpt,1,0,1692,1707,1707,elephant4,,1,,,,,,,1,,1707,,1707,prpt,1,1,,
alexandra,24m2h,2025,2,15,14,34,18,2868,164,19,male,8,tpl,prpt,1,0,103,103,103,apple,,0,3,,,,,,1,,103,,,prpt,1,,,
alexandra,24m2h,2025,2,15,14,34,23,2868,164,19,male,9,tpl,prpt,1,0,1321,4080,4080,owl,,1,,,,,,,1,,4080,,4080,prpt,1,1,,
alexandra,24m2h,2025,2,15,14,34,31,2868,164,19,male,10,tpl,prpt,1,0,141,141,141,elephant4,,0,3,,,,,,1,,141,,,prpt,1,,,
alexandra,24m2h,2025,2,15,14,34,35,2868,164,19,male,11,tpl,inhb,0,0,15,8476,8476,elephant4,,1,,,,,,,0,,8476,,,inhb,0,,,
alexandra,24m2h,2025,2,15,14,35,7,2868,164,19,male,12,tpl,prpt,0,0,1616,1616,1616,elephant,,1,,,,,,,1,,1616,,,prpt,0,,,
alexandra,24m2h,2025,2,15,14,35,26,2868,164,19,male,13,tpl,prpt,0,0,3950,3950,3950,flower,,1,,,,,,,1,,3950,,,prpt,0,,,
alexandra,24m2h,2025,2,15,14,35,42,2868,164,19,male,14,tpl,inhb,0,0,3653,3675,3675,elephant2,,1,,,,,,,1,,3675,,,inhb,0,,,
alexandra,24m2h,2025,2,15,14,35,55,2868,164,19,male,15,tpl,prpt,0,0,3366,3366,3366,elephant2,,1,,,,,,,1,,3366,,,prpt,0,,,
alexandra,24m2h,2025,2,15,14,36,32,2868,164,19,male,16,tpl,inhb,1,0,222,7901,7901,bus,,1,,,,,,,0,,7901,,,inhb,1,,1,
alexandra,24m2h,2025,2,15,14,36,44,2868,164,19,male,17,tpl,inhb,1,0,2911,3477,3477,flower,,1,,,,,,,1,,3477,3477,,inhb,1,,1,
alexandra,24m2h,2025,2,15,14,36,51,2868,164,19,male,18,tpl,prpt,0,0,2387,3545,3545,bus,,1,,,,,,,1,,3545,,,prpt,0,,,
alexandra,24m2h,2025,2,15,14,37,33,2868,164,19,male,19,tpl,prpt,0,0,14757,14757,14757,elephant4,,1,,,,,,,0,,14757,,,prpt,0,,,
alexandra,24m2h,2025,2,15,14,38,16,2868,164,19,male,20,tpl,inhb,0,0,4064,4229,4229,bus,,1,,,,,,,1,,4229,,,inhb,0,,,
alexandra,24m2h,2025,2,15,14,38,26,2868,164,19,male,21,tpl,prpt,1,0,1736,2328,2328,elephant4,,1,,,,,,,1,,2328,,2328,prpt,1,1,,
alexandra,24m2h,2025,2,15,14,38,33,2868,164,19,male,22,tpl,prpt,0,0,3122,3829,3829,elephant2,,1,,,,,,,1,,3829,,,prpt,0,,,
alexandra,24m2h,2025,2,15,14,39,19,2868,164,19,male,23,tpl,prpt,0,0,5002,5002,5002,apple,,1,,,,,,,0,,5002,,,prpt,0,,,
alexandra,24m2h,2025,2,15,14,39,40,2868,164,19,male,24,tpl,prpt,1,0,12979,25900,25900,elephant2,,1,,,,,,,0,,25900,,,prpt,1,1,,
alexandra,24m2h,2025,2,15,14,40,11,2868,164,19,male,25,tpl,inhb,0,0,1061,2776,2776,bus,,1,,,,,,,1,,2776,,,inhb,0,,,
alexandra,24m2h,2025,2,15,14,40,25,2868,164,19,male,26,tpl,prpt,0,0,1450,7411,7411,elephant,,1,,,,,,,0,,7411,,,prpt,0,,,
,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3477,2776,,,9 out of 17,3 out of 7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5294,0.429,
