tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,8,14,14,9,22,2666,133,24,female,1,prr,,1,0,10080,10081,10081,elephant2,right,1,none,none,none,none,none,none,0,10081,,,,1,,,ap
alexandra,24m2h,2024,8,14,14,9,37,2666,133,24,female,1,prr,,1,0,2461,2461,2461,elephant,,1,,,,,,,1,2461,,,,1,,,
alexandra,24m2h,2024,8,14,14,9,43,2666,133,24,female,1,tpr,prpt,1,0,2521,2521,2521,elephant,,1,,,,,,,1,2521,,2521,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,9,50,2666,133,24,female,2,tpr,prpt,1,0,4634,4634,4634,apple,,1,,,,,,,1,4634,,4634,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,9,59,2666,133,24,female,3,tpr,prpt,1,0,3411,3411,3411,owl,,1,,,,,,,1,3411,,3411,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,10,6,2666,133,24,female,4,tpr,inhb,1,0,4835,4835,4835,apple,,1,,,,,,,1,4835,4835,,inhb,1,,1,
alexandra,24m2h,2024,8,14,14,10,15,2666,133,24,female,5,tpr,prpt,1,0,2612,2612,2612,flower,,1,,,,,,,1,2612,,2612,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,10,22,2666,133,24,female,6,tpr,prpt,1,0,4941,4941,4941,flower,,1,,,,,,,1,4941,,4941,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,10,31,2666,133,24,female,7,tpr,prpt,1,0,1441,1441,1441,bus,,1,,,,,,,1,1441,,1441,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,10,37,2666,133,24,female,8,tpr,inhb,1,0,1833,1833,1833,elephant,,1,,,,,,,1,1833,1833,,inhb,1,,1,
alexandra,24m2h,2024,8,14,14,10,43,2666,133,24,female,9,tpr,prpt,1,0,1761,1761,1761,apple,,1,,,,,,,1,1761,,1761,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,10,49,2666,133,24,female,10,tpr,prpt,1,0,1502,1502,1502,elephant,,1,,,,,,,1,1502,,1502,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,10,54,2666,133,24,female,11,tpr,inhb,1,0,3803,3885,3885,owl,,1,,,,,,,1,3885,3885,,inhb,1,,1,
alexandra,24m2h,2024,8,14,14,11,2,2666,133,24,female,12,tpr,prpt,1,0,1884,1884,1884,elephant,,1,,,,,,,1,1884,,1884,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,11,8,2666,133,24,female,13,tpr,prpt,1,0,1537,1537,1537,owl,,1,,,,,,,1,1537,,1537,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,11,14,2666,133,24,female,14,tpr,inhb,1,0,1648,1663,1663,elephant4,,1,,,,,,,1,1663,1663,,inhb,1,,1,
alexandra,24m2h,2024,8,14,14,11,20,2666,133,24,female,15,tpr,prpt,1,0,1496,1535,1535,elephant4,,1,,,,,,,1,1535,,1535,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,11,25,2666,133,24,female,16,tpr,inhb,1,0,1653,1653,1653,flower,,1,,,,,,,1,1653,1653,,inhb,1,,1,
alexandra,24m2h,2024,8,14,14,11,31,2666,133,24,female,17,tpr,inhb,1,0,1241,1241,1241,apple,,1,,,,,,,1,1241,1241,,inhb,1,,1,
alexandra,24m2h,2024,8,14,14,11,37,2666,133,24,female,18,tpr,prpt,1,0,1352,1352,1352,flower,,1,,,,,,,1,1352,,1352,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,11,42,2666,133,24,female,19,tpr,prpt,1,0,953,953,953,flower,,1,,,,,,,1,953,,953,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,11,47,2666,133,24,female,20,tpr,prpt,1,0,1005,1005,1005,elephant2,,1,,,,,,,1,1005,,1005,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,11,53,2666,133,24,female,21,tpr,prpt,1,0,1039,1039,1039,apple,,1,,,,,,,1,1039,,1039,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,11,58,2666,133,24,female,22,tpr,prpt,1,0,1145,1146,1146,bus,,1,,,,,,,1,1146,,1146,prpt,1,1,,
alexandra,24m2h,2024,8,14,14,12,3,2666,133,24,female,23,tpr,inhb,0,0,2659,2659,2659,bus,,1,,,,,,,1,2659,,,inhb,0,,,
alexandra,24m2h,2024,8,14,14,12,11,2666,133,24,female,24,tpr,prpt,1,0,1891,1891,1891,elephant4,,1,,,,,,,1,1891,,1891,prpt,1,1,,
