tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,11,23,15,1,7,2795,156,18,female,1,prl,,1,0,13540,13540,13540,bus,left,1,,none,none,none,none,none,0,none,13540,,,,1,,,AP
alexandra,24m2h,2024,11,23,15,1,24,2795,156,18,female,1,prl,,1,0,1457,1850,1850,elephant,,1,,,,,,,1,,1850,,,,1,,,
alexandra,24m2h,2024,11,23,15,1,30,2795,156,18,female,1,tpl,prpt,0,0,1234,1499,1499,elephant2,,1,,,,,,,1,,1499,,,prpt,0,,,
alexandra,24m2h,2024,11,23,15,1,41,2795,156,18,female,2,tpl,prpt,0,0,1200,1201,1201,apple,,1,,,,,,,1,,1201,,,prpt,0,,,
alexandra,24m2h,2024,11,23,15,1,49,2795,156,18,female,3,tpl,prpt,1,0,2600,3051,3051,apple,,1,,,,,,,1,,3051,,3051,prpt,1,1,,
alexandra,24m2h,2024,11,23,15,1,56,2795,156,18,female,4,tpl,prpt,1,0,2123,2123,2123,flower,,1,,,,,,,1,,2123,,2123,prpt,1,1,,
alexandra,24m2h,2024,11,23,15,2,2,2795,156,18,female,5,tpl,inhb,0,0,3166,3166,3166,elephant,,1,,,,,,,1,,3166,,,inhb,0,,,
alexandra,24m2h,2024,11,23,15,2,13,2795,156,18,female,6,tpl,prpt,1,0,3167,3500,3500,elephant,,1,,,,,,,1,,3500,,3500,prpt,1,1,,
alexandra,24m2h,2024,11,23,15,2,21,2795,156,18,female,7,tpl,inhb,1,0,1699,1699,1699,elephant4,,1,,,,,,,1,,1699,1699,,inhb,1,,1,
alexandra,24m2h,2024,11,23,15,2,27,2795,156,18,female,8,tpl,prpt,1,0,2343,2343,2343,elephant,,1,,,,,,,1,,2343,,2343,prpt,1,1,,
alexandra,24m2h,2024,11,23,15,2,34,2795,156,18,female,9,tpl,prpt,1,0,2349,2349,2349,elephant4,,1,,,,,,,1,,2349,,2349,prpt,1,1,,
alexandra,24m2h,2024,11,23,15,2,40,2795,156,18,female,10,tpl,prpt,1,0,1658,1658,1658,flower,,1,,,,,,,1,,1658,,1658,prpt,1,1,,
alexandra,24m2h,2024,11,23,15,2,46,2795,156,18,female,11,tpl,prpt,1,0,8820,9503,9503,elephant,,1,,,,,,,0,,9503,,,prpt,1,1,,
alexandra,24m2h,2024,11,23,15,3,0,2795,156,18,female,12,tpl,prpt,1,0,1002,1002,1002,elephant2,,1,,,,,,,1,,1002,,1002,prpt,1,1,,
