tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. Time inh,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2025,3,22,19,12,21,2940,173,20,female,1,prl,,1,0,16809,16809,16809,owl,left,1,none,no,none,none,none,none,0,16809,,,,1,,,ap
alexandra,24m2h,2025,3,22,19,12,44,2940,173,20,female,1,prl,,1,0,5163,5163,5163,owl,,1,,,,,,,0,5163,,,,1,,,
alexandra,24m2h,2025,3,22,19,13,0,2940,173,20,female,1,tpl,prpt,0,0,11828,12127,12127,elephant2,,1,,,,,,,0,12127,,,prpt,0,,,
alexandra,24m2h,2025,3,22,19,13,18,2940,173,20,female,2,tpl,prpt,1,0,4638,4638,4638,elephant4,,1,,,,,,,1,4638,,4638,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,13,27,2940,173,20,female,3,tpl,prpt,1,0,3027,3083,3083,elephant4,,1,,,,,,,1,3083,,3083,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,13,34,2940,173,20,female,4,tpl,prpt,1,0,2688,2688,2688,elephant,,1,,,,,,,1,2688,,2688,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,13,41,2940,173,20,female,5,tpl,prpt,1,0,3827,6787,6787,elephant,,1,,,,,,,0,6787,,,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,13,52,2940,173,20,female,6,tpl,inhb,1,0,1833,1833,1833,elephant2,,1,,,,,,,1,1833,1833,,inhb,1,,1,
alexandra,24m2h,2025,3,22,19,13,58,2940,173,20,female,7,tpl,prpt,1,0,1236,1243,1243,apple,,1,,,,,,,1,1243,,1243,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,14,3,2940,173,20,female,8,tpl,prpt,0,0,1416,1716,1716,owl,,1,,,,,,,1,1716,,,prpt,0,,,
alexandra,24m2h,2025,3,22,19,14,19,2940,173,20,female,9,tpl,prpt,1,0,3128,3128,3128,elephant4,,1,,,,,,,1,3128,,3128,prpt,1,1,,
