tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,respTime,med. Time inh,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2025,3,22,19,14,27,2940,173,20,female,10,tpl,prpt,1,0,4633,4783,4783,elephant,,1,,,,,,,1,4783,,4783,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,14,36,2940,173,20,female,11,tpl,prpt,1,0,3487,3811,3811,apple,,1,,,,,,,1,3811,,3811,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,14,44,2940,173,20,female,12,tpl,inhb,0,0,1485,1485,1485,bus,,1,,,,,,,1,1485,,,inhb,0,,,
alexandra,24m2h,2025,3,22,19,14,53,2940,173,20,female,13,tpl,prpt,1,0,3775,3775,3775,bus,,1,,,,,,,1,3775,,3775,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,15,1,2940,173,20,female,14,tpl,prpt,1,0,3295,3318,3318,elephant2,,1,,,,,,,1,3318,,3318,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,15,8,2940,173,20,female,15,tpl,prpt,1,0,5469,6869,6869,elephant,,1,,,,,,,0,6869,,,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,15,19,2940,173,20,female,16,tpl,inhb,1,0,3327,3327,3327,owl,,1,,,,,,,1,3327,3327,,inhb,1,,1,
alexandra,24m2h,2025,3,22,19,15,27,2940,173,20,female,17,tpl,prpt,1,0,3160,3160,3160,apple,,1,,,,,,,1,3160,,3160,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,15,34,2940,173,20,female,18,tpl,prpt,1,0,1033,1033,1033,elephant2,,1,,,,,,,1,1033,,1033,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,15,40,2940,173,20,female,19,tpl,prpt,1,0,3512,3687,3687,flower,,1,,,,,,,1,3687,,3687,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,15,47,2940,173,20,female,20,tpl,prpt,1,0,4236,4635,4635,elephant4,,1,,,,,,,1,4635,,4635,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,15,56,2940,173,20,female,21,tpl,inhb,1,0,8758,8758,8758,apple,,1,,,,,,,0,8758,,,inhb,1,,1,
alexandra,24m2h,2025,3,22,19,16,9,2940,173,20,female,22,tpl,prpt,0,0,759,759,759,apple,,1,,,,,,,1,759,,,prpt,0,,,
alexandra,24m2h,2025,3,22,19,16,16,2940,173,20,female,23,tpl,prpt,1,0,1126,1126,1126,elephant4,,1,,,,,,,1,1126,,1126,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,16,21,2940,173,20,female,24,tpl,prpt,1,0,1009,1009,1009,elephant,,1,,,,,,,1,1009,,1009,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,16,27,2940,173,20,female,25,tpl,inhb,1,0,1362,1362,1362,apple,,1,,,,,,,1,1362,1362,,inhb,1,,1,
alexandra,24m2h,2025,3,22,19,16,32,2940,173,20,female,26,tpl,inhb,1,0,1075,1075,1075,bus,,1,,,,,,,1,1075,1075,,inhb,1,,1,
alexandra,24m2h,2025,3,22,19,16,37,2940,173,20,female,27,tpl,prpt,1,0,2683,2683,2683,elephant,,1,,,,,,,1,2683,,2683,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,16,44,2940,173,20,female,28,tpl,prpt,1,0,2366,2366,2366,elephant,,1,,,,,,,1,2366,,2366,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,16,51,2940,173,20,female,29,tpl,prpt,1,0,6750,6765,6765,apple,,1,,,,,,,0,6765,,,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,17,2,2940,173,20,female,30,tpl,prpt,1,0,1218,1218,1218,elephant,,1,,,,,,,1,1218,,1218,prpt,1,1,,
alexandra,24m2h,2025,3,22,19,17,7,2940,173,20,female,31,tpl,inhb,0,0,3395,3395,3395,flower,,1,,,,,,,1,3395,,,inhb,0,,,
alexandra,24m2h,2025,3,22,19,17,16,2940,173,20,female,32,tpl,inhb,1,0,1859,1859,1859,elephant,,1,,,,,,,1,1859,1659,,inhb,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659,3105.5,,,21 out of 24,6 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.75,
