tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,6,22,15,1,57,2551,108,18,male,1,prl,,1,0,6274,6274,6274,apple,left,1,,none,none,none,none,none,0,none,6274,,,,1,,,AP
alexandra,24m2h,2024,6,22,15,2,8,2551,108,18,male,1,prl,,1,0,12577,12946,12946,elephant4,,1,,,,,,,0,,12946,,,,1,,,
alexandra,24m2h,2024,6,22,15,2,26,2551,108,18,male,1,prl,,1,0,1837,4036,4036,apple,,1,,,,,,,1,,4036,,,,1,,,
alexandra,24m2h,2024,6,22,15,2,34,2551,108,18,male,1,tpl,prpt,1,0,119,3129,3129,apple,,1,,,,,,,1,,3129,,3129,prpt,1,1,,
alexandra,24m2h,2024,6,22,15,2,42,2551,108,18,male,2,tpl,prpt,0,0,277,1120,1120,elephant2,,1,,,,,,,1,,1120,,,prpt,0,,,
alexandra,24m2h,2024,6,22,15,2,52,2551,108,18,male,3,tpl,prpt,0,0,1583,1583,1583,elephant2,,1,,,,,,,1,,1583,,,prpt,0,,,
alexandra,24m2h,2024,6,22,15,2,59,2551,108,18,male,4,tpl,inhb,1,0,1049,1882,1882,elephant4,,1,,,,,,,1,,1882,1882,,inhb,1,,1,
alexandra,24m2h,2024,6,22,15,3,5,2551,108,18,male,5,tpl,inhb,1,0,1409,1409,1409,owl,,1,,,,,,,1,,1409,1409,,inhb,1,,1,
alexandra,24m2h,2024,6,22,15,3,11,2551,108,18,male,6,tpl,prpt,0,0,1505,1505,1505,elephant2,,1,,,,,,,1,,1505,,,prpt,0,,,
alexandra,24m2h,2024,6,22,15,3,19,2551,108,18,male,7,tpl,prpt,0,0,1122,1122,1122,apple,,1,,,,,,,1,,1122,,,prpt,0,,,
