tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,7,27,14,53,11,2605,126,24,male,1,prr,,1,0,1010,55685,55685,flower,right,1,none,none,none,none,none,none,0,,55685,,,,1,,,AP
alexandra,24m2h,2024,7,27,14,54,11,2605,126,24,male,1,prr,,1,0,5338,5338,5338,owl,,1,,,,,,,0,,5338,,,,1,,,
alexandra,24m2h,2024,7,27,14,54,20,2605,126,24,male,1,tpr,prpt,1,0,2688,2689,2689,bus,,1,,,,,,,1,,2689,,2689,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,54,27,2605,126,24,male,2,tpr,prpt,1,0,1400,1400,1400,elephant,,1,,,,,,,1,,1400,,1400,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,54,33,2605,126,24,male,3,tpr,prpt,1,0,1460,1461,1461,bus,,1,,,,,,,1,,1461,,1461,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,54,38,2605,126,24,male,4,tpr,prpt,1,0,956,956,956,apple,,1,,,,,,,1,,956,,956,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,54,43,2605,126,24,male,5,tpr,prpt,1,0,1005,1005,1005,elephant2,,1,,,,,,,1,,1005,,1005,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,54,49,2605,126,24,male,6,tpr,inhb,0,0,1018,1018,1018,apple,,1,,,,,,,1,,1018,,,inhb,0,,,
alexandra,24m2h,2024,7,27,14,54,56,2605,126,24,male,7,tpr,prpt,1,0,1711,1711,1711,owl,,1,,,,,,,1,,1711,,1711,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,55,1,2605,126,24,male,8,tpr,prpt,1,0,1214,1215,1215,apple,,1,,,,,,,1,,1215,,1215,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,55,7,2605,126,24,male,9,tpr,inhb,0,0,1315,1315,1315,elephant4,,1,,,,,,,1,,1315,,,inhb,0,,,
alexandra,24m2h,2024,7,27,14,55,13,2605,126,24,male,10,tpr,prpt,1,0,1444,1444,1444,bus,,1,,,,,,,1,,1444,,1444,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,55,19,2605,126,24,male,11,tpr,inhb,0,0,1066,1066,1066,apple,,1,,,,,,,1,,1066,,,inhb,0,,,
alexandra,24m2h,2024,7,27,14,55,25,2605,126,24,male,12,tpr,inhb,1,0,1272,1272,1272,elephant2,,1,,,,,,,1,,1272,1272,,inhb,1,,1,
alexandra,24m2h,2024,7,27,14,55,30,2605,126,24,male,13,tpr,prpt,1,0,1517,1517,1517,apple,,1,,,,,,,1,,1517,,1517,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,55,36,2605,126,24,male,14,tpr,prpt,1,0,1063,1063,1063,bus,,1,,,,,,,1,,1063,,1063,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,55,42,2605,126,24,male,15,tpr,prpt,1,0,898,898,898,bus,,1,,,,,,,1,,898,,898,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,55,47,2605,126,24,male,16,tpr,prpt,1,0,663,664,664,apple,,1,,,,,,,1,,664,,664,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,55,51,2605,126,24,male,17,tpr,prpt,1,0,1705,1705,1705,owl,,1,,,,,,,1,,1705,,1705,prpt,1,1,,
alexandra,24m2h,2024,7,27,14,55,57,2605,126,24,male,18,tpr,inhb,1,0,1839,1839,1839,elephant4,,1,,,,,,,1,,1839,1839,,inhb,1,,1,
