tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,med. time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,9,21,14,45,49,2742,139,16,female,1,prl,,1,0,5241,5242,5242,elephant,left,0,,none,none,none,,,1,none,,,,,1,,,AP
alexandra,24m2h,2024,9,21,14,45,59,2742,139,16,female,1,prl,,1,0,6929,6929,6929,apple,,0,,,,,,,1,,,,,,1,,,
alexandra,24m2h,2024,9,21,14,46,22,2742,139,16,female,1,tpl,prpt,1,0,3186,3186,3186,owl,,1,,,,,,,1,,3186,,3186,prpt,1,1,,
alexandra,24m2h,2024,9,21,14,46,29,2742,139,16,female,2,tpl,prpt,1,0,1374,1380,1380,elephant4,,1,,,,,,,1,,1380,,1380,prpt,1,1,,
alexandra,24m2h,2024,9,21,14,46,35,2742,139,16,female,3,tpl,prpt,1,0,1161,1161,1161,apple,,1,,,,,,,1,,1161,,1161,prpt,1,1,,
alexandra,24m2h,2024,9,21,14,46,40,2742,139,16,female,4,tpl,prpt,1,0,2536,2551,2551,flower,,1,,,,,,,1,,2551,,2551,prpt,1,1,,
alexandra,24m2h,2024,9,21,14,46,47,2742,139,16,female,5,tpl,inhb,0,0,21,1262,1262,elephant4,,1,,,,,,,1,,1262,,,inhb,0,,,
alexandra,24m2h,2024,9,21,14,46,56,2742,139,16,female,6,tpl,prpt,1,0,1627,3970,3970,bus,,1,,,,,y,c,1,,1207,,1207,prpt,1,1,,
alexandra,24m2h,2024,9,21,14,47,5,2742,139,16,female,7,tpl,inhb,0,0,1343,1367,1367,apple,,1,,,,,,,1,,1367,,,inhb,0,,,
alexandra,24m2h,2024,9,21,14,47,12,2742,139,16,female,8,tpl,prpt,1,0,805,2498,2498,elephant,,1,,,,,y,c,1,,1185,,1185,prpt,1,1,,
